acc_ref,beat_no,severity,no_vehicle,no_casualt,a_date,a_day,a_date_day,a_date_mon,a_date_yr,a_time_hr,a_time_min,loc_auth,road1_class,road1_no,road_type,speed_limi,junc_det,junc_ctrl,road2_class,road2_no,light_cond,weather,road_surf,spec_cond,cway_hzrds,ovrtk_patrn,easting,northing,net_id,net_type,acc_type,text_id,division,Postcode,ped_xing_hc,ped_xing_p,place_reported,Latitude,geo
11713,,Slight,2,1,07/01/2013,Monday,7,January,13,7,40,S12000036,Motorway,8,Roundabout,50,Roundabout,Automatic Traffic Signal,Unclassified,,Darkness: street lights present and lit,Fine (without high winds),Dry,None,None,No overtaking,318190,670990,6453709,Junction,T.V.N.P.,366850,unset,EH129BU,No crossing facility within 50m or physical crossing facility not controlled by authorised person,No physical crossing facility within 50m,At scene,55.9250564288,-3.30937113015,"{lat: 55.9250564288, lon:-3.30937113015}"
12313,,Slight,1,1,08/01/2013,Tuesday,8,January,13,11,42,S12000036,Unclassified,,Dual carriageway - 2 lanes,30,Not at or within 20 metres of junction,unset,\,,Daylight: street lights present,Fine (without high winds),Dry,None,None,No overtaking,325550,673920,551196,Segment,Pedestrian,366851,unset,EH22DF,No crossing facility within 50m or physical crossing facility not controlled by authorised person,No physical crossing facility within 50m,Elsewhere,55.9525747377,-3.19241266767,"{lat: 55.9525747377, lon:-3.19241266767}"
12513,,Slight,2,1,07/01/2013,Monday,7,January,13,17,50,S12000036,C,,Single carriageway - 2 lanes,30,Crossroads,Give way sign or markings,Unclassified,,Darkness: street lights present and lit,Fine (without high winds),Dry,None,None,No overtaking,325230,674410,520533,Junction,T.V.N.P.,366852,unset,EH36QG,Control by other authorised person,Central refuge - no other controls,At scene,55.9569271368,-3.19767254,"{lat: 55.9569271368, lon:-3.19767254}"
13013,,Serious,1,1,08/01/2013,Tuesday,8,January,13,17,5,S12000036,B,900,Single carriageway - 2 lanes,30,'T' or staggered junction,Give way sign or markings,Unclassified,,Darkness: street lights present and lit,Fine (without high winds),Dry,None,None,No overtaking,325560,675180,519840,Junction,Pedestrian,366853,unset,EH74EX,No crossing facility within 50m or physical crossing facility not controlled by authorised person,Central refuge - no other controls,At scene,55.9638959522,-3.19260057835,"{lat: 55.9638959522, lon:-3.19260057835}"
13913,,Slight,2,1,09/01/2013,Wednesday,9,January,13,11,50,S12000036,A,90,Single carriageway - 2 lanes,30,'T' or staggered junction,Give way sign or markings,Unclassified,,Daylight: street lights present,Fine (without high winds),Dry,None,None,No overtaking,324550,673760,520956,Junction,Cyclist,366854,unset,EH24QS,Control by other authorised person,Pedestrian phase at traffic signal junction,At scene,55.9509813474,-3.2083802,"{lat: 55.9509813474, lon:-3.2083802}"
14013,,Slight,1,1,09/01/2013,Wednesday,9,January,13,10,45,S12000036,Unclassified,,Single carriageway - 2 lanes,30,'T' or staggered junction,Give way sign or markings,Unclassified,,Daylight: street lights present,Fine (without high winds),Dry,None,None,No overtaking,321770,669060,532930,Junction,Bus,366855,unset,EH130LE,Control by other authorised person,Pedestrian phase at traffic signal junction,At scene,55.9083134145,-3.25153009692,"{lat: 55.9083134145, lon:-3.25153009692}"
14513,,Slight,1,1,09/01/2013,Wednesday,9,January,13,12,55,S12000036,Unclassified,,Single carriageway - 2 lanes,30,Not at or within 20 metres of junction,unset,\,,Daylight: street lights present,Fine (without high winds),Dry,None,None,No overtaking,313390,677690,0,Unset,Pedestrian,366856,unset,EH309QL,No crossing facility within 50m or physical crossing facility not controlled by authorised person,No physical crossing facility within 50m,Elsewhere,55.984403411,-3.38832332291,"{lat: 55.984403411, lon:-3.38832332291}"
15213,,Slight,1,1,10/01/2013,Thursday,10,January,13,4,40,S12000036,C,,Single carriageway - 2 lanes,30,Crossroads,Automatic Traffic Signal,Unclassified,,Darkness: street lights present and lit,Fine (without high winds),Dry,None,None,No overtaking,326210,673540,521139,Junction,S.V.N.P.,366857,unset,EH89UE,No crossing facility within 50m or physical crossing facility not controlled by authorised person,Pedestrian phase at traffic signal junction,At scene,55.9492626601,-3.18174045954,"{lat: 55.9492626601, lon:-3.18174045954}"
16513,,Slight,1,1,10/01/2013,Thursday,10,January,13,19,20,S12000036,A,8,Dual carriageway - 2 lanes,30,Not at or within 20 metres of junction,unset,\,,Darkness: street lights present and lit,Raining (without high winds),Dry,None,Other object in carriageway,No overtaking,325230,673830,551202,Segment,Cyclist,366858,unset,EH22ER,No crossing facility within 50m or physical crossing facility not controlled by authorised person,No physical crossing facility within 50m,At scene,55.9517165038,-3.19751166337,"{lat: 55.9517165038, lon:-3.19751166337}"
16613,,Slight,2,1,10/01/2013,Thursday,10,January,13,16,40,S12000036,Unclassified,,Single carriageway - 2 lanes,30,Crossroads,Give way sign or markings,C,,Darkness: street lights present and lit,Raining (without high winds),Dry,None,None,No overtaking,322510,670420,529984,Junction,Cyclist,366859,unset,EH141HL,No crossing facility within 50m or physical crossing facility not controlled by authorised person,No physical crossing facility within 50m,At scene,55.9206510459,-3.24008461135,"{lat: 55.9206510459, lon:-3.24008461135}"
