acc_ref,beat_no,severity,no_vehicle,no_casualt,a_date,a_day,a_date_day,a_date_mon,a_date_yr,a_time_hr,a_time_min,loc_auth,road1_class,road1_no,road_type,speed_limi,junc_det,junc_ctrl,road2_class,road2_no,light_cond,weather,road_surf,spec_cond,cway_hzrds,ovrtk_patrn,easting,northing,net_id,net_type,acc_type,text_id,division,Postcode,ped_xing_hc,ped_xing_p,place_reported,latitude,longitude,geojson
112,,Serious,1,1,01/01/2012,Sunday,1,January,12,2,0,230,Unclassified,,Single carriageway - 2 lanes,60,Not at or within 20 metres of junction,unset,\,,Darkness: no street lighting,Raining (without high winds),Dry,None,None,No overtaking,314360,676710,0,Unset,S.V.N.P.,354345,unset,EH309UA,No crossing facility within 50m or physical crossing facility not controlled by authorised person,No physical crossing facility within 50m,At scene,55.975773943,-3.37246781433,"{""type"": ""Feature"",""geometry"": {""type"": ""Point"",""coordinates"": -3.37246781433, 55.975773943}}"
1612,,Slight,2,1,01/01/2012,Sunday,1,January,12,18,30,230,C,,Single carriageway - 2 lanes,30,Not at or within 20 metres of junction,unset,\,,Darkness: street lights present and lit,Fog (or mist if hazard),Dry,None,None,No overtaking,322870,676760,559676,Segment,T.V.N.P.,354346,unset,EH51LT,No crossing facility within 50m or physical crossing facility not controlled by authorised person,No physical crossing facility within 50m,At scene,55.97766576,-3.23613844164,"{""type"": ""Feature"",""geometry"": {""type"": ""Point"",""coordinates"": -3.23613844164, 55.97766576}}"
1712,,Slight,2,2,01/01/2012,Sunday,1,January,12,17,30,230,C,,Single carriageway - 2 lanes,30,Crossroads,Automatic Traffic Signal,Unclassified,,Darkness: street lights present and lit,Fine (without high winds),Dry,None,None,No overtaking,322590,670360,529981,Junction,T.V.N.P.,354347,unset,EH141DW,No crossing facility within 50m or physical crossing facility not controlled by authorised person,Pedestrian phase at traffic signal junction,At scene,55.9201248993,-3.23878750247,"{""type"": ""Feature"",""geometry"": {""type"": ""Point"",""coordinates"": -3.23878750247, 55.9201248993}}"
2212,,Slight,2,1,31/12/2012,Monday,31,December,12,20,40,230,Unclassified,,Single carriageway - 2 lanes,30,'T' or staggered junction,Give way sign or markings,Unclassified,,Darkness: street lights present and lit,Fine (without high winds),Dry,None,None,No overtaking,320170,670110,0,Unset,Bus,363498,unset,EH142QE,No crossing facility within 50m or physical crossing facility not controlled by authorised person,No physical crossing facility within 50m,At scene,55.917483522,-3.27743008634,"{""type"": ""Feature"",""geometry"": {""type"": ""Point"",""coordinates"": -3.27743008634, 55.917483522}}"
2312,,Slight,3,1,31/12/2012,Monday,31,December,12,18,0,230,A,720,Dual carriageway - 2 lanes,70,Not at or within 20 metres of junction,unset,\,,Darkness: no street lighting,Fine (without high winds),Dry,None,None,No overtaking,331550,667910,2579296,Segment,M.V.N.P.,363499,unset,EH221RT,No crossing facility within 50m or physical crossing facility not controlled by authorised person,No physical crossing facility within 50m,At scene,55.899471822,-3.09481216012,"{""type"": ""Feature"",""geometry"": {""type"": ""Point"",""coordinates"": -3.09481216012, 55.899471822}}"
2712,,Slight,2,1,02/01/2012,Monday,2,January,12,11,54,230,A,720,Dual carriageway - 2 lanes,70,Not at or within 20 metres of junction,unset,\,,Daylight: no street lighting,Fine (without high winds),Dry,None,None,No overtaking,326540,667070,2588155,Segment,T.V.N.P.,354348,unset,EH209NR,No crossing facility within 50m or physical crossing facility not controlled by authorised person,No physical crossing facility within 50m,At scene,55.8911869216,-3.17469742535,"{""type"": ""Feature"",""geometry"": {""type"": ""Point"",""coordinates"": -3.17469742535, 55.8911869216}}"
3312,,Slight,2,1,02/01/2012,Monday,2,January,12,18,40,230,Unclassified,,Single carriageway - 2 lanes,30,'T' or staggered junction,Give way sign or markings,Unclassified,,Daylight: no street lighting,Raining (without high winds),Dry,None,None,No overtaking,326500,672680,522462,Junction,T.V.N.P.,354349,unset,EH89RB,No crossing facility within 50m or physical crossing facility not controlled by authorised person,No physical crossing facility within 50m,At scene,55.9415809214,-3.17686288115,"{""type"": ""Feature"",""geometry"": {""type"": ""Point"",""coordinates"": -3.17686288115, 55.9415809214}}"
3412,,Slight,1,1,03/01/2012,Tuesday,3,January,12,4,25,230,A,720,Dual carriageway - 2 lanes,70,Not at or within 20 metres of junction,unset,\,,Daylight: no street lighting,Raining (without high winds),Dry,None,None,No overtaking,318920,669960,2579027,Segment,S.V.N.P.,354350,unset,EH142SR,No crossing facility within 50m or physical crossing facility not controlled by authorised person,No physical crossing facility within 50m,At scene,55.9159269686,-3.29738170554,"{""type"": ""Feature"",""geometry"": {""type"": ""Point"",""coordinates"": -3.29738170554, 55.9159269686}}"
3612,,Serious,1,1,31/12/2012,Monday,31,December,12,17,43,230,A,8,Single carriageway - 2 lanes,30,Not at or within 20 metres of junction,unset,\,,Daylight: no street lighting,Fine (without high winds),Dry,None,None,No overtaking,325820,673990,517891,Junction,Pedestrian,363500,unset,EH22EJ,No crossing facility within 50m or physical crossing facility not controlled by authorised person,No physical crossing facility within 50m,At scene,55.9532453673,-3.18810857867,"{""type"": ""Feature"",""geometry"": {""type"": ""Point"",""coordinates"": -3.18810857867, 55.9532453673}}"
3912,,Slight,1,1,03/01/2012,Tuesday,3,January,12,9,0,230,A,720,Dual carriageway - 2 lanes,70,Slip road,Give way sign or markings,A,720,Daylight: no street lighting,Raining with high winds,Dry,None,None,No overtaking,318780,670130,2581994,Junction,S.V.N.P.,354351,unset,EH142SR,No crossing facility within 50m or physical crossing facility not controlled by authorised person,No physical crossing facility within 50m,At scene,55.9174305622,-3.29967233253,"{""type"": ""Feature"",""geometry"": {""type"": ""Point"",""coordinates"": -3.29967233253, 55.9174305622}}"
4012,,Slight,2,1,03/01/2012,Tuesday,3,January,12,9,0,230,Unclassified,,Single carriageway - 3 lanes,40,Not at or within 20 metres of junction,unset,\,,Daylight: street lights present,Fine with high winds,Dry,None,None,No overtaking,312460,672770,0,Unset,T.V.N.P.,354352,unset,EH288SY,No crossing facility within 50m or physical crossing facility not controlled by authorised person,No physical crossing facility within 50m,At scene,55.9400377867,-3.40162732766,"{""type"": ""Feature"",""geometry"": {""type"": ""Point"",""coordinates"": -3.40162732766, 55.9400377867}}"
5512,,Slight,2,2,01/01/2012,Sunday,1,January,12,3,30,230,C,,Single carriageway - 2 lanes,30,Crossroads,Automatic Traffic Signal,C,,Darkness: no street lighting,Raining (without high winds),Dry,None,None,No overtaking,325290,674200,520521,Junction,Cyclist,354353,unset,EH21JX,No crossing facility within 50m or physical crossing facility not controlled by authorised person,"Pelican, puffin, toucan or similar non-junction pedestrian light crossing",At scene,55.9550498623,-3.19665348267,"{""type"": ""Feature"",""geometry"": {""type"": ""Point"",""coordinates"": -3.19665348267, 55.9550498623}}"
5812,,Slight,3,1,03/01/2012,Tuesday,3,January,12,14,20,230,Motorway,8,Dual carriageway - 2 lanes,70,Not at or within 20 metres of junction,unset,\,,Daylight: street lights present,Raining with high winds,Dry,None,None,No overtaking,312350,671220,6452164,Segment,M.V.N.P.,354354,unset,EH288LZ,No crossing facility within 50m or physical crossing facility not controlled by authorised person,No physical crossing facility within 50m,At scene,55.9260938626,-3.40288467222,"{""type"": ""Feature"",""geometry"": {""type"": ""Point"",""coordinates"": -3.40288467222, 55.9260938626}}"
6212,,Slight,1,1,04/01/2012,Wednesday,4,January,12,15,45,230,C,,Single carriageway - 2 lanes,30,Not at or within 20 metres of junction,unset,\,,Daylight: street lights present,Raining (without high winds),Dry,None,None,No overtaking,325440,674060,566552,Segment,Pedestrian,354355,unset,EH22PF,No crossing facility within 50m or physical crossing facility not controlled by authorised person,No physical crossing facility within 50m,Elsewhere,55.9538154226,-3.19421274976,"{""type"": ""Feature"",""geometry"": {""type"": ""Point"",""coordinates"": -3.19421274976, 55.9538154226}}"
8312,,Fatal,3,1,05/01/2012,Thursday,5,January,12,7,45,230,A,70,Single carriageway - 2 lanes,40,'T' or staggered junction,Give way sign or markings,Unclassified,,Darkness: street lights present and lit,Fine (without high winds),Dry,None,None,No overtaking,321410,670190,529969,Junction,Cyclist,354356,unset,EH142LU,No crossing facility within 50m or physical crossing facility not controlled by authorised person,Central refuge - no other controls,At scene,55.918406358,-3.25761644151,"{""type"": ""Feature"",""geometry"": {""type"": ""Point"",""coordinates"": -3.25761644151, 55.918406358}}"
8512,,Slight,2,1,05/01/2012,Thursday,5,January,12,18,10,230,Unclassified,,Single carriageway - 2 lanes,30,Crossroads,Give way sign or markings,Unclassified,,Darkness: street lights present and lit,Fine (without high winds),Dry,None,None,No overtaking,325940,676190,519232,Junction,Cyclist,354357,unset,EH64BT,No crossing facility within 50m or physical crossing facility not controlled by authorised person,Central refuge - no other controls,Elsewhere,55.9730283998,-3.1867918206,"{""type"": ""Feature"",""geometry"": {""type"": ""Point"",""coordinates"": -3.1867918206, 55.9730283998}}"
8612,,Serious,2,1,05/01/2012,Thursday,5,January,12,2,7,230,Unclassified,,Single carriageway - 2 lanes,30,Crossroads,Give way sign or markings,Unclassified,,Darkness: street lights present and lit,Other,Dry,None,None,No overtaking,323170,668670,0,Unset,T.V.N.P.,354358,unset,EH139QG,No crossing facility within 50m or physical crossing facility not controlled by authorised person,No physical crossing facility within 50m,At scene,55.9050352421,-3.22902780486,"{""type"": ""Feature"",""geometry"": {""type"": ""Point"",""coordinates"": -3.22902780486, 55.9050352421}}"
9712,,Slight,1,2,05/01/2012,Thursday,5,January,12,12,45,230,A,8,One way Street,30,Crossroads,Automatic Traffic Signal,Unclassified,,Daylight: street lights present,Fine (without high winds),Dry,None,None,No overtaking,324110,673230,521340,Junction,Pedestrian,354359,unset,EH112BQ,No crossing facility within 50m or physical crossing facility not controlled by authorised person,Pedestrian phase at traffic signal junction,Elsewhere,55.9461506473,-3.21527614929,"{""type"": ""Feature"",""geometry"": {""type"": ""Point"",""coordinates"": -3.21527614929, 55.9461506473}}"
