acc_ref,beat_no,severity,no_vehicle,no_casualt,a_date,a_day,a_date_day,a_date_mon,a_date_yr,a_time_hr,a_time_min,loc_auth,road1_class,road1_no,road_type,speed_limi,junc_det,junc_ctrl,road2_class,road2_no,light_cond,weather,road_surf,spec_cond,cway_hzrds,ovrtk_patrn,easting,northing,net_id,net_type,acc_type,text_id,division,Postcode,ped_xing_hc,ped_xing_p,place_reported,latitude,longitude,geojson
427310,,Slight,2,1,15/06/2010,Tuesday,15,June,10,13,0,230,A,902,Single carriageway - 2 lanes,40,Not at or within 20 metres of junction,unset,\,,Daylight: street lights present,Fine (without high winds),Dry,None,None,No overtaking,318110,672940,566096,Segment,T.V.N.P.,361200,unset,EH128LA,No crossing facility within 50m or physical crossing facility not controlled by authorised person,No physical crossing facility within 50m,At scene,55.9425606228,-3.31124276465,"{""type"": ""Feature"",""geometry"": {""type"": ""Point"",""coordinates"": -3.31124276465, 55.9425606228}}"
428010,,Slight,1,1,15/06/2010,Tuesday,15,June,10,8,30,230,Unclassified,,Single carriageway - 2 lanes,30,Not at or within 20 metres of junction,unset,\,,Daylight: street lights present,Fine (without high winds),Dry,None,None,No overtaking,312150,672620,12231263,Segment,S.V.N.P.,350563,unset,EH288SS,No crossing facility within 50m or physical crossing facility not controlled by authorised person,No physical crossing facility within 50m,Elsewhere,55.938633769,-3.40654030778,"{""type"": ""Feature"",""geometry"": {""type"": ""Point"",""coordinates"": -3.40654030778, 55.938633769}}"
428210,,Slight,2,1,15/06/2010,Tuesday,15,June,10,18,9,230,A,900,Single carriageway - 2 lanes,30,Not at or within 20 metres of junction,unset,\,,Daylight: street lights present,Fine (without high winds),Dry,None,None,No overtaking,326730,675430,558479,Segment,T.V.N.P.,361201,unset,EH68NY,No crossing facility within 50m or physical crossing facility not controlled by authorised person,No physical crossing facility within 50m,At scene,55.9663218372,-3.17392850996,"{""type"": ""Feature"",""geometry"": {""type"": ""Point"",""coordinates"": -3.17392850996, 55.9663218372}}"
429310,,Slight,1,1,15/06/2010,Tuesday,15,June,10,18,40,230,A,1140,Single carriageway - 2 lanes,30,'T' or staggered junction,Give way sign or markings,Unclassified,,Daylight: street lights present,Fine (without high winds),Dry,None,None,No overtaking,329050,674250,523440,Junction,Bus,361202,unset,EH76RS,No crossing facility within 50m or physical crossing facility not controlled by authorised person,No physical crossing facility within 50m,Elsewhere,55.9560690199,-3.1364552238,"{""type"": ""Feature"",""geometry"": {""type"": ""Point"",""coordinates"": -3.1364552238, 55.9560690199}}"
430110,,Slight,1,1,16/06/2010,Wednesday,16,June,10,15,10,230,Unclassified,,Single carriageway - 2 lanes,30,'T' or staggered junction,Give way sign or markings,Unclassified,,Daylight: street lights present,Fine (without high winds),Dry,None,None,No overtaking,323510,676540,522864,Junction,Pedestrian,361203,unset,EH52DA,No crossing facility within 50m or physical crossing facility not controlled by authorised person,No physical crossing facility within 50m,At scene,55.9757917414,-3.22582149897,"{""type"": ""Feature"",""geometry"": {""type"": ""Point"",""coordinates"": -3.22582149897, 55.9757917414}}"
431510,,Slight,2,1,17/06/2010,Thursday,17,June,10,13,35,230,Unclassified,,Dual carriageway - 2 lanes,40,Not at or within 20 metres of junction,unset,\,,Daylight: street lights present,Fine (without high winds),Dry,None,None,No overtaking,312770,672650,550499,Segment,T.V.N.P.,361204,unset,EH288LH,No crossing facility within 50m or physical crossing facility not controlled by authorised person,No physical crossing facility within 50m,At scene,55.9390161558,-3.39662669806,"{""type"": ""Feature"",""geometry"": {""type"": ""Point"",""coordinates"": -3.39662669806, 55.9390161558}}"
432310,,Slight,2,1,17/06/2010,Thursday,17,June,10,19,20,230,A,900,Dual carriageway - 2 lanes,30,Roundabout,Give way sign or markings,Unclassified,,Daylight: street lights present,Fine (without high winds),Dry,None,None,No overtaking,326120,674500,520242,Junction,Bus,361205,unset,EH13NH,Control by other authorised person,"Pelican, puffin, toucan or similar non-junction pedestrian light crossing",At scene,55.9578733744,-3.18344455292,"{""type"": ""Feature"",""geometry"": {""type"": ""Point"",""coordinates"": -3.18344455292, 55.9578733744}}"
435810,,Slight,1,1,19/06/2010,Saturday,19,June,10,0,10,230,A,1,Single carriageway - 2 lanes,30,Crossroads,Automatic Traffic Signal,A,1,Darkness: street lights present and lit,Fine (without high winds),Dry,None,None,No overtaking,328320,674140,523374,Junction,Pedestrian,361206,unset,EH87AB,No crossing facility within 50m or physical crossing facility not controlled by authorised person,No physical crossing facility within 50m,At scene,55.9549724217,-3.1481162591,"{""type"": ""Feature"",""geometry"": {""type"": ""Point"",""coordinates"": -3.1481162591, 55.9549724217}}"
437810,,Slight,1,1,19/06/2010,Saturday,19,June,10,22,45,230,A,7,Single carriageway - 2 lanes,30,Crossroads,Automatic Traffic Signal,Unclassified,,Daylight: street lights present,Fine (without high winds),Dry,None,None,No overtaking,325950,673630,521103,Junction,Pedestrian,361207,unset,EH11LL,Control by other authorised person,Pedestrian phase at traffic signal junction,Elsewhere,55.9500312182,-3.18592805154,"{""type"": ""Feature"",""geometry"": {""type"": ""Point"",""coordinates"": -3.18592805154, 55.9500312182}}"
437910,,Slight,3,1,19/06/2010,Saturday,19,June,10,19,30,230,Unclassified,,Single carriageway - 2 lanes,30,Not at or within 20 metres of junction,unset,\,,Daylight: street lights present,Fine (without high winds),Dry,None,None,No overtaking,321160,674370,565685,Segment,M.V.N.P.,361208,unset,EH43PE,No crossing facility within 50m or physical crossing facility not controlled by authorised person,No physical crossing facility within 50m,At scene,55.9559171452,-3.26283711138,"{""type"": ""Feature"",""geometry"": {""type"": ""Point"",""coordinates"": -3.26283711138, 55.9559171452}}"
